Ticker,run,hour,minute,intRank, perRank, lastPrice , currentPrice ,alertVal
TFSC,12,8,54,0,0.0,10.0,10.0,0
TFSCR,12,8,54,0,0.005925925925925932,0.54,0.5,0
TFSCU,12,8,54,0,0.0,9.05,9.05,0
TFSCW,12,8,54,0,0.6755179028132994,0.391,0.4,0
PIH,12,8,54,0,0.0,6.5,6.5,0
FLWS,12,8,54,1,0.004227001953990034,9.56,9.55,0
FCCY,12,8,54,-2,-0.005973753525116364,12.4724,12.42,0
VNET,12,8,54,1,0.014020897854929673,9.67,9.64,0
CAFD,12,8,54,-2,-0.005842907228501739,16.1,15.92,0
EGHT,12,8,54,-1,0.006999868674503013,15.125,15.255,0
AVHI,12,8,54,-1,0.005840732622133954,12.57,12.67,0
ABEO,12,8,54,-2,-0.0053843827073803046,2.45,2.435,0
ABEOW,12,8,54,0,0.0,1.11,1.11,0
ABIL,12,8,54,0,2.9941508397090394E-4,4.58,4.53,0
AXAS,12,8,54,1,0.008571306010047184,1.18,1.1899,0
ACTG,12,8,54,1,-0.014772322394968314,4.61,4.63,0
ACST,12,8,54,-1,-0.05717765727818319,1.5,1.48,0
AXDX,12,8,54,1,0.0052489539954223355,19.51,19.46,0
ANCX,12,8,54,-3,7.353511736688731E-4,21.48,21.38,0
ARAY,12,8,54,0,0.003786659850967997,5.325,5.35,0
OILU,12,8,54,0,8.699258506108948E-4,24.71,24.71,0
VXDN,12,8,54,0,0.02678394367623531,15.6,15.6,0
VXUP,12,8,54,-1,-0.027027027027027025,7.56,7.56,0
ACRX,12,8,54,2,0.007014337014487501,3.03,3.03,0
ACET,12,8,54,3,-0.005662232877741266,25.01,25.02,0
AKAO,12,8,54,2,0.036909725463481924,3.6,3.68,0
ACHN,12,8,54,1,0.00574652971944037,8.8,8.77,0
ACIW,12,8,54,1,-0.006399061363337913,19.565,19.59,0
ACRS,12,8,54,0,-0.011599651124665034,20.15,20.2,0
ACTS,12,8,54,1,0.035892142200003044,1.9541,2.04,0
