Ticker,run,hour,minute,intRank, perRank, lastPrice , currentPrice ,alertVal
TFSC,13,8,54,0,0.0,10.0,10.0,0
TFSCR,13,8,54,0,0.005925925925925932,0.5,0.5,0
TFSCU,13,8,54,0,0.0,9.05,9.05,0
TFSCW,13,8,54,-1,0.3005179028132993,0.4,0.25,0
PIH,13,8,54,0,0.0,6.5,6.5,0
FLWS,13,8,54,2,0.005274122372838179,9.55,9.56,0
FCCY,13,8,54,-2,-0.005973753525116364,12.42,12.42,0
VNET,13,8,54,0,0.008834175863228355,9.64,9.59,0
CAFD,13,8,54,-1,-0.005214766524984165,15.92,15.93,0
EGHT,13,8,54,-2,0.004050016167128386,15.255,15.21,0
AVHI,13,8,54,-2,-0.005998257117408299,12.67,12.52,0
ABEO,13,8,54,-3,-0.01565132315912565,2.435,2.41,0
ABEOW,13,8,54,0,0.0,1.11,1.11,0
ABIL,13,8,54,0,2.9941508397090394E-4,4.53,4.53,0
AXAS,13,8,54,0,2.512791170309475E-4,1.1899,1.18,0
ACTG,13,8,54,0,-0.016932149608791164,4.63,4.62,0
ACST,13,8,54,0,-0.00988035998088585,1.48,1.55,0
AXDX,13,8,54,2,0.009051626143418125,19.46,19.534,0
ANCX,13,8,54,-4,-0.010022366319315244,21.38,21.15,0
ARAY,13,8,54,0,0.003786659850967997,5.35,5.35,0
OILU,13,8,54,0,8.699258506108948E-4,24.71,24.71,0
VXDN,13,8,54,-1,0.001142918035209644,15.6,15.2,0
VXUP,13,8,54,-1,-0.027027027027027025,7.56,7.56,0
ACRX,13,8,54,1,-0.011995563975611467,3.03,2.9724,0
ACET,13,8,54,4,0.01112433786566408,25.02,25.44,1
AKAO,13,8,54,1,0.004301029811307984,3.68,3.56,0
ACHN,13,8,54,2,0.009167282285004925,8.77,8.8,0
ACIW,13,8,54,2,0.005341622659122547,19.59,19.82,0
ACRS,13,8,54,0,-0.011599651124665034,20.2,20.2,0
ACTS,13,8,54,0,-0.006215700937251899,2.04,1.9541,0
ACPW,13,8,54,-2,-0.02301771463127374,0.35,0.3418,0
ACTA,13,8,54,2,0.013496870597701036,9.85,9.96,0
ACUR,13,8,54,-1,-0.028279332388733307,2.08,2.04,0
ACXM,13,8,54,-2,0.00786905831268963,22.73,22.88,0
ADMS,13,8,54,2,0.011190740173489408,15.28,15.41,0
ADMP,13,8,54,0,-0.0027306988682299395,3.08,3.1,0
