Ticker,run,hour,minute,intRank, perRank, lastPrice , currentPrice ,alertVal
TFSC,6,8,54,0,0.0,10.0,10.0,0
TFSCR,6,8,54,0,0.0,0.5,0.5,0
TFSCU,6,8,54,0,0.0,9.05,9.05,0
TFSCW,6,8,54,0,0.45000000000000007,0.25,0.4,0
PIH,6,8,54,0,0.0,6.5,6.5,0
FLWS,6,8,54,1,0.004208289471814229,9.56,9.55,0
FCCY,6,8,54,-1,-0.0060024009603840975,12.42,12.42,0
VNET,6,8,54,1,0.013675165060023056,9.59,9.64,0
CAFD,6,8,54,-3,-0.0059399512281053035,15.93,15.92,0
EGHT,6,8,54,1,0.006934683504469344,15.21,15.255,0
AVHI,6,8,54,-1,0.005763979387044913,12.52,12.67,0
ABEO,6,8,54,0,-0.0058465830971853455,2.41,2.435,0
ABEOW,6,8,54,0,0.0,1.11,1.11,0
ABIL,6,8,54,0,0.0,4.53,4.53,0
AXAS,6,8,54,1,0.008473590214151576,1.18,1.1899,0
ACTG,6,8,54,-1,-0.014925152169815426,4.62,4.63,0
ACST,6,8,54,-1,-0.06168114373644704,1.55,1.48,0
AXDX,6,8,54,1,0.005196559953283187,19.534,19.46,0
ANCX,6,8,54,-1,6.738179412638448E-4,21.15,21.38,0
ARAY,6,8,54,0,0.0037629251364808963,5.35,5.35,0
OILU,6,8,54,0,0.0,24.71,24.71,0
VXDN,6,8,54,1,0.03289473684210526,15.7,15.7,0
VXUP,6,8,54,-1,-0.027027027027027025,7.56,7.56,0
ACRX,6,8,54,1,2.2760417963730087E-4,3.01,3.01,0
ACET,6,8,54,3,0.010903804875257229,25.45,25.45,0
AKAO,6,8,54,0,0.0028328161056736544,3.56,3.56,0
ACHN,6,8,54,3,0.009722834504944492,8.805,8.805,0
ACIW,6,8,54,1,0.003552555857544956,19.79,19.79,0
ACRS,6,8,54,0,-0.011611935231487628,20.2,20.2,0
ACTS,6,8,54,0,-0.008066713539211987,1.9541,1.9541,0
ACPW,6,8,54,-1,-0.012677025023695934,0.3455,0.3455,0
ACTA,6,8,54,1,0.01217961991747279,9.95,9.95,0
ACUR,6,8,54,-2,-0.028751589999768755,2.04,2.04,0
ACXM,6,8,54,-1,0.00738373133558599,22.87,22.87,0
ADMS,6,8,54,1,0.00593511622399644,15.33,15.33,0
ADMP,6,8,54,-1,-0.0192818280153619,3.05,3.05,0
ADAP,6,8,54,-1,-0.027698210737024356,7.77,7.77,0
ADUS,6,8,54,1,0.006680132626603406,19.64,19.64,0
AEY,6,8,54,0,0.0,1.9,1.9,0
IOTS,6,8,54,3,0.007880786402535965,3.83,3.83,0
ADMA,6,8,54,1,0.011957829662747707,6.79,6.79,0
ADTN,6,8,54,3,0.0027821073573415962,18.0,18.01,0
ADRO,6,8,54,4,0.027060464761166268,13.11,13.22,1
ADES,6,8,54,0,0.0,7.0212,7.0212,0
AMD,6,8,54,4,0.04459703920953351,5.3773,5.45,1
ADXS,6,8,54,2,0.015073886898694619,8.02,8.07,0
ADXSW,6,8,54,1,0.0058019713261646825,4.4899,4.4899,0
ADVM,6,8,54,1,0.006637896325136141,3.17,3.19,0
MAUI,6,8,54,0,0.0,23.7,23.7,0
YPRO,6,8,54,0,0.0,23.699,23.699,0
AEGR,6,8,54,0,-0.04402387484187964,1.51,1.52,0
AEGN,6,8,54,-4,-0.005423100358477328,20.23,20.2,0
AGLE,6,8,54,-2,-0.03298633482697593,4.49,4.35,0
AEHR,6,8,54,1,0.023952095808383256,1.67,1.71,0
AMTX,6,8,54,0,0.0,2.0,2.0,0
AERI,6,8,54,2,0.01607453242310693,17.675,17.68,0
AEZS,6,8,54,-1,0.009056801028968593,3.4952,3.5316,0
AEMD,6,8,54,-2,-0.008854356022644975,7.35,7.349,0
AFMD,6,8,54,2,-2.3201465125562495E-4,2.84,2.82,0
AGEN,6,8,54,1,0.017120719047799115,4.83,4.81,0
AGRX,6,8,54,-3,-0.004120655008496623,6.965,6.96,0
AGYS,6,8,54,1,0.011711711711711783,11.23,11.23,0
AGFS,6,8,54,2,0.01605553589137718,5.68,5.68,0
AGFSW,6,8,54,1,0.13749999999999998,0.91,0.91,0
AIMT,6,8,54,0,-0.005485065983689872,10.84,10.84,0
AIRT,6,8,54,0,0.0,20.1,20.1,0
ATSG,6,8,54,-2,-0.004133877281046538,14.38,14.38,0
AMCN,6,8,54,-2,-0.0200224446938298,2.95,2.95,0
AIXG,6,8,54,-2,-0.0068114128104393434,5.84,5.84,0
AKTX,6,8,54,1,0.020038052043396693,10.0,10.0,0
AKBA,6,8,54,0,0.004751777975125238,8.51,8.51,0
AKER,6,8,54,2,0.018991830476938056,3.0,3.0,0
ALSK,6,8,54,2,0.011984667009486066,1.69,1.69,0
AMRI,6,8,54,2,0.008533378030828532,14.27,14.27,0
ABDC,6,8,54,1,7.514933623231808E-5,12.1501,12.1501,0
ADHD,6,8,54,2,0.0440011638528162,4.24,4.24,0
ALDX,6,8,54,0,0.0,6.06,6.06,0
ALIM,6,8,54,-1,-0.0077398373983739895,1.24,1.24,0
ALJJ,6,8,54,-1,-0.010080645161290288,4.91,4.91,0
AIQ,6,8,54,2,0.05963789164791798,6.425,6.425,0
AHGP,6,8,54,0,-0.0032307459921013977,22.68,22.68,0
ARLP,6,8,54,-3,-0.008242172627460211,17.5155,17.455,0
AHPI,6,8,54,-1,-5.365848630521624E-4,0.639,0.639,0
AMOT,6,8,54,2,0.0026273527810971044,22.87,22.89,0
ALQA,6,8,54,0,6.51984931903795E-4,1.16,1.16,0
ALLT,6,8,54,-1,-0.004048448647751698,4.9,4.9,0
MDRX,6,8,54,1,0.005029532094200722,13.9501,14.0,0
AOSL,6,8,54,-3,-0.005568084869269752,14.32,14.29,0
SMCP,6,8,54,0,0.0,23.36,23.36,0
ATEC,6,8,54,1,0.014135020071854425,0.3732,0.3732,0
AMRN,6,8,54,3,0.004848203955176308,2.33,2.34,0
AMRK,6,8,54,-2,-0.005291760164455594,16.76,16.67,0
AYA,6,8,54,1,0.006354818071435611,15.78,15.83,0
AMBC,6,8,54,3,0.004118821736394252,17.71,17.74,0
AMBCW,6,8,54,0,0.0,8.28,8.28,0
AMDA,6,8,54,-1,-0.022750060128118053,0.85,0.85,0
ATAX,6,8,54,-1,2.470559459084431E-5,5.5795,5.59,0
AMOV,6,8,54,0,0.0,12.44,12.44,0
AGNC,6,8,54,-1,-2.589253313934922E-4,19.195,19.21,0
MTGE,6,8,54,-1,0.0025713202834687825,15.67,15.74,0
MTGEP,6,8,54,0,0.0,25.2656,25.2656,0
ACSF,6,8,54,-1,-0.001894346578555531,10.49,10.4801,0
ACAS,6,8,54,1,0.0028275751319757907,16.07,16.0301,0
AETI,6,8,54,-1,-0.025781249999999936,2.494,2.494,0
AMIC,6,8,54,0,0.0,24.7,24.7,0
AMRB,6,8,54,0,0.0,10.65,10.65,0
AMSWA,6,8,54,1,0.0060943076492234426,10.96,10.865,0
AMSC,6,8,54,0,0.019958064105161308,9.3,9.31,0
ASRV,6,8,54,0,9.835635600629646E-5,3.04,3.01,0
FOLD,6,8,54,0,0.005212187244477343,6.04,5.9906,0
AMKR,6,8,54,0,0.004047162784387586,6.22,6.235,0
