Ticker,run,hour,minute,intRank, perRank, lastPrice , currentPrice ,alertVal
TFSC,23,8,54,-1,-0.051999999999999956,10.0,9.48,0
TFSCR,23,8,54,-1,-0.08814814814814811,0.5,0.45,0
TFSCU,23,8,54,0,0.0,9.05,9.05,0
TFSCW,23,8,54,0,1.0489040920716115,0.25,0.33,0
PIH,23,8,54,-1,-0.004413364413364451,6.5,6.47,0
FLWS,23,8,54,3,0.005349513354221111,9.55,9.56,0
FCCY,23,8,54,-1,-0.0017007803402250728,12.42,12.4724,0
VNET,23,8,54,-1,0.01571605588493675,9.66,9.655,0
CAFD,23,8,54,1,0.0166802466595261,15.92,16.25,0
EGHT,23,8,54,-1,0.0061040692635406565,15.24,15.24,0
AVHI,23,8,54,-2,0.004438401533232859,12.58,12.65,0
ABEO,23,8,54,0,-0.006764223348657989,2.43,2.43,0
ABEOW,23,8,54,0,0.0,1.11,1.11,0
ABIL,23,8,54,3,0.03421353148501558,4.591,4.685,0
AXAS,23,8,54,1,0.008957818574345548,1.18,1.19,0
ACTG,23,8,54,-1,-0.020816273281203473,4.6515,4.6,0
ACST,23,8,54,-1,-0.06070408160569839,1.5,1.47,0
AXDX,23,8,54,-1,0.004845982783735921,19.53,19.45,0
ANCX,23,8,54,-3,0.0019417556769547677,21.36,21.4,0
ARAY,23,8,54,1,0.005698768803609906,5.34,5.36,0
OILU,23,8,54,-1,-0.015100126385286294,24.71,24.3,0
VXDN,23,8,54,1,0.019488059051898644,15.2,15.47,0
VXUP,23,8,54,-3,-0.025733744233712396,7.77,7.56,0
ACRX,23,8,54,4,0.010816679260812333,3.01,3.04,1
ACET,23,8,54,2,0.007500720945856016,25.175,25.34,1
AKAO,23,8,54,2,0.02872721864071508,3.55,3.64,0
ACHN,23,8,54,4,0.009337485251200657,8.72,8.8,1
ACIW,23,8,54,5,9.522956125818247E-4,19.72,19.73,1
ACRS,23,8,54,1,-0.011437636675495745,20.44,20.2,0
ACTS,23,8,54,-2,-0.003058773675681529,1.97,1.9541,0
ACPW,23,8,54,-4,-0.003819106437479054,0.35,0.3451,0
ACTA,23,8,54,1,0.004496557074295323,9.83,9.87,0
ACUR,23,8,54,-1,-0.01686387216893358,2.1,2.06,0
ACXM,23,8,54,-4,0.0066408023535741234,22.7034,22.85,0
ADMS,23,8,54,1,0.00743453546263639,15.24,15.35,0
ADMP,23,8,54,-3,-0.01498397622044919,3.11,3.06,0
ADAP,23,8,54,0,-0.01941450992939447,7.99,7.83,0
ADUS,23,8,54,-1,0.004070885089832325,19.51,19.58,0
AEY,23,8,54,-3,-0.023781966420764265,1.9,1.85,0
IOTS,23,8,54,4,0.009330173942785056,3.8,3.83,1
ADMA,23,8,54,0,0.002404848779058014,6.71,6.72,0
ADTN,23,8,54,1,0.00279315001670878,17.99,18.01,0
ADRO,23,8,54,3,0.02600586936450554,13.34,13.19,1
ADES,23,8,54,1,0.002451806667076317,6.9501,7.0212,0
AMD,23,8,54,7,0.04884538670076163,5.43,5.455,1
ADXS,23,8,54,-1,0.010379879137247425,7.9,8.02,0
ADXSW,23,8,54,1,0.005835440013072555,4.4899,4.4899,0
ADVM,23,8,54,0,0.010300464435536418,3.195,3.2,0
MAUI,23,8,54,0,0.0,23.7,23.7,0
YPRO,23,8,54,0,1.9621227883778736E-7,23.699,23.699,0
AEGR,23,8,54,0,-0.053011313275018915,1.505,1.501,0
AEGN,23,8,54,-4,-0.006132113532676982,20.02,20.18,0
AGLE,23,8,54,-3,-7.043180259344601E-4,4.5158,4.45,0
AEHR,23,8,54,-2,0.037979853003723196,1.804,1.71,0
AMTX,23,8,54,0,1.0736375541452528E-4,2.0,2.0,0
AERI,23,8,54,1,0.015358942273831559,17.62,17.66,0
AEZS,23,8,54,-2,0.020842032151148587,3.56,3.57,0
AEMD,23,8,54,-4,-0.005585920305850558,7.18,7.349,0
AFMD,23,8,54,5,0.007345317006925206,2.83,2.839,1
AGEN,23,8,54,1,0.015637150518935508,4.78,4.8,0
AGRX,23,8,54,1,-0.0028958172048771692,6.86,6.96,0
AGYS,23,8,54,2,8.426547666875398E-4,11.1,11.1,1
AGFS,23,8,54,3,0.0023190069753782697,5.59,5.59,1
AGFSW,23,8,54,0,0.06648351648351647,0.8,0.8,0
AIMT,23,8,54,3,2.5747867622537106E-4,10.9,10.9,0
AIRT,23,8,54,0,8.808819763915648E-4,20.1,20.1,0
ATSG,23,8,54,-1,2.462983102662977E-4,14.44,14.44,0
AMCN,23,8,54,-1,0.00177299765098516,3.01,3.01,0
AIXG,23,8,54,-1,3.4564792820085573E-4,5.88,5.88,0
AKTX,23,8,54,-1,0.004457861028362521,9.8072,9.8072,0
AKBA,23,8,54,-1,1.443770588851884E-4,8.47,8.47,0
AKER,23,8,54,2,0.0023121469836840432,2.9442,2.9442,0
ALSK,23,8,54,4,0.0017732198580241894,1.67,1.67,1
AMRI,23,8,54,-1,2.581972300193672E-4,14.15,14.15,0
ABDC,23,8,54,0,2.1996078452306798E-4,12.15,12.15,0
ADHD,23,8,54,1,0.008354260136957593,4.06,4.06,1
ALDX,23,8,54,-1,0.0019641909450524714,6.06,6.06,0
ALIM,23,8,54,0,0.004630112202309057,1.25,1.25,0
ALJJ,23,8,54,1,5.597503901973392E-4,4.96,4.96,0
AIQ,23,8,54,2,0.008034687159772881,6.06,6.06,0
AHGP,23,8,54,-1,0.003214907065327708,22.76,22.76,0
ARLP,23,8,54,-3,0.015424266995992496,17.6,17.83,0
AHPI,23,8,54,-2,-0.029296674791935186,0.6394,0.6201,0
AMOT,23,8,54,-2,-0.017396037370904397,22.83,22.4,0
ALQA,23,8,54,0,0.011416303867115372,1.16,1.17,0
ALLT,23,8,54,0,-0.0038189812489856654,4.92,4.9,0
MDRX,23,8,54,-3,0.004028827926964438,13.93,13.985,0
AOSL,23,8,54,-5,-0.016208295407569323,14.37,14.13,0
SMCP,23,8,54,0,0.0,23.36,23.36,0
ATEC,23,8,54,1,0.006371347561552365,0.368,0.37,0
AMRN,23,8,54,1,-0.00538214740517255,2.329,2.315,0
AMRK,23,8,54,-6,-0.008673686491035483,16.76,16.61,0
AYA,23,8,54,-3,-5.904802446208548E-4,15.73,15.69,0
AMBC,23,8,54,4,0.02474561133322469,17.67,18.085,1
AMBCW,23,8,54,1,0.034961262041898214,8.28,8.5466,0
AMDA,23,8,54,1,-0.06594053142067516,0.8699,0.8079,0
ATAX,23,8,54,-4,-0.0017591766658764396,5.5899,5.58,0
AMOV,23,8,54,1,0.019341861396973675,12.44,12.67,0
AGNC,23,8,54,-1,1.3999162140498965E-4,19.215,19.2175,0
MTGE,23,8,54,-2,0.006746560886553579,15.7,15.805,0
MTGEP,23,8,54,-1,-0.0010084473344789343,25.2656,25.24,0
ACSF,23,8,54,-3,0.002338781245758252,10.5499,10.5235,0
ACAS,23,8,54,-3,0.004771061211368587,16.06,16.06,0
AETI,23,8,54,-2,-0.02931624608738395,2.48,2.48,0
AMIC,23,8,54,0,0.0,24.7,24.7,0
AMRB,23,8,54,-1,-0.0018744009999160447,10.63,10.63,0
AMSWA,23,8,54,0,0.015393524065554998,10.97,10.96,0
AMSC,23,8,54,1,0.020019069528513986,9.3,9.3,0
ASRV,23,8,54,2,0.010349130078246591,3.04,3.04,0
FOLD,23,8,54,2,0.031287448749631436,6.115,6.145,0
AMKR,23,8,54,1,7.112192007226615E-5,6.22,6.21,0
AMPH,23,8,54,0,0.0016934868462184739,17.46,17.49,0
ASYS,23,8,54,6,0.017818061082868982,5.84,5.8,1
AFSI,23,8,54,0,-0.010730062696121619,24.93,24.93,0
AMRS,23,8,54,-3,-0.022404881554416698,0.4,0.4,0
AVXL,23,8,54,4,0.03500496222977253,7.35,7.35,1
ANCB,23,8,54,0,-0.0035685519454472466,24.84,24.84,0
ANDA,23,8,54,0,0.0,9.73,9.73,0
ANDAR,23,8,54,0,0.0,0.1801,0.1801,0
ANDAU,23,8,54,-1,-9.07575219200379E-4,10.1,10.1,0
ANDAW,23,8,54,0,0.0,0.08,0.08,0
ANGI,23,8,54,0,0.00625337038307854,6.71,6.75,0
ANGO,23,8,54,-2,0.004373176841764929,16.51,16.58,0
ATRS,23,8,54,-1,-0.004670767828662671,1.05,1.045,0
ANTH,23,8,54,2,0.010714155634081762,3.26,3.29,0
ABAC,23,8,54,-2,0.04240030292348547,0.775,0.7497,0
APIC,23,8,54,3,0.026397077862991534,11.73,12.03,0
APOL,23,8,54,-3,0.0038833073779899804,9.06,9.095,0
AINV,23,8,54,3,0.004532241384997163,5.56,5.585,1
AMEH,23,8,54,0,0.0,5.5,5.5,0
APPF,23,8,54,-3,0.0023428138567844698,15.14,15.16,0
ARCI,23,8,54,0,-0.004525088325939178,1.308,1.3,0
APDN,23,8,54,-2,-0.012084411356731571,3.19,3.15,0
APDNW,23,8,54,-1,-0.03772538141470183,1.05,1.01,0
AGTC,23,8,54,-2,-0.012548446967907887,15.96,15.75,0
AMAT,23,8,54,-3,-9.706666737027371E-4,26.57,26.541,0
AMCC,23,8,54,-1,0.008931883729717137,6.85,6.91,0
AAOI,23,8,54,-1,-0.0028771203967924547,11.81,11.77,0
AREX,23,8,54,3,0.06580144571701099,1.9711,2.09,1
APRI,23,8,54,-1,-0.010046814956733858,0.35,0.345,0
APTO,23,8,54,-1,-0.006074573707605658,2.46,2.44,0
AQMS,23,8,54,3,0.02425062037381415,9.98,10.0,0
AQXP,23,8,54,4,0.00679602973618712,7.465,7.45,1
AUMA,23,8,54,0,0.0,9.92,9.92,0
AUMAU,23,8,54,0,0.0,9.95,9.95,0
AUMAW,23,8,54,-3,-0.1257337003323919,0.1092,0.1195,0
ARDM,23,8,54,0,0.0012386355801943822,4.55,4.5,0
ARLZ,23,8,54,0,-5.47501689662732E-4,3.5665,3.535,0
PETX,23,8,54,5,0.006114266917624877,6.7,6.73,1
ABUS,23,8,54,1,4.382300289742318E-4,4.22,4.23,0
ARCW,23,8,54,1,1.2424917473550894E-4,2.52,2.54,0
ABIO,23,8,54,-1,-0.015574875816912123,3.043,3.02,0
RKDA,23,8,54,0,-0.003112564233009728,2.36,2.372,0
ARCB,23,8,54,-1,0.003431341986816785,17.94,17.9,0
APLP,23,8,54,1,0.007408804722693223,14.38,13.77,0
ACAT,23,8,54,-1,-0.0015732398915623957,17.58,17.81,0
ARDX,23,8,54,1,0.011645675401991913,9.99,10.05,0
ARNA,23,8,54,1,0.020002295051453515,1.7,1.67,0
ARCC,23,8,54,-1,0.009215471779914242,14.51,14.48,0
ARGS,23,8,54,1,0.0381192788618321,6.191,6.18,0
ARIS,23,8,54,0,0.01626067303410558,5.205,5.28,0
ARIA,23,8,54,0,0.00996002252793479,7.16,7.185,0
ARKR,23,8,54,1,0.013469652710159069,23.7,23.7,0
ARTX,23,8,54,-1,-0.00689710765032783,2.807,2.79,0
ARWA,23,8,54,0,0.0,10.0201,10.0201,0
ARWAR,23,8,54,0,0.0,0.2,0.2,0
ARWAU,23,8,54,0,0.0,10.2,10.2,0
ARWAW,23,8,54,0,0.0,0.1,0.1,0
ARQL,23,8,54,-2,0.013043043994232523,1.6,1.63,0
ARRY,23,8,54,1,0.005805726445826703,3.7,3.695,0
ARRS,23,8,54,-2,0.005320892998458644,24.95,24.9815,0
DWAT,23,8,54,-1,0.0015815408718490485,10.6047,10.61,0
