Ticker,run,hour,minute,intRank, perRank, lastPrice , currentPrice ,alertVal
TFSC,15,8,54,0,0.0,10.0,10.0,0
TFSCR,15,8,54,0,0.005925925925925932,0.5,0.5,0
TFSCU,15,8,54,0,0.0,9.05,9.05,0
TFSCW,15,8,54,-1,0.5255179028132995,0.4,0.25,0
PIH,15,8,54,0,0.0,6.5,6.5,0
FLWS,15,8,54,2,0.0053016204039791496,9.51,9.56,0
FCCY,15,8,54,-2,-0.005937507142505349,12.495,12.42,0
VNET,15,8,54,0,0.008904350609310906,9.51,9.59,0
CAFD,15,8,54,-1,-0.005186446402155185,16.015,15.93,0
EGHT,15,8,54,-2,0.004065639031189941,15.15,15.21,0
AVHI,15,8,54,-2,-0.0059576871087871726,12.6,12.52,0
ABEO,15,8,54,-3,-0.015380343397926561,2.45,2.41,0
ABEOW,15,8,54,0,0.0,1.11,1.11,0
ABIL,15,8,54,0,2.9941508397090394E-4,4.53,4.53,0
AXAS,15,8,54,0,2.512791170309475E-4,1.18,1.18,0
ACTG,15,8,54,0,-0.01663740888851853,4.7,4.62,0
ACST,15,8,54,0,-0.009510432393615952,1.5801,1.55,0
AXDX,15,8,54,2,0.009131683631654359,19.36,19.534,0
ANCX,15,8,54,-4,-0.009915280868887065,21.37,21.15,0
ARAY,15,8,54,0,0.0038006873097185005,5.33,5.35,0
OILU,15,8,54,0,-0.014810813703422524,24.2,24.32,0
VXDN,15,8,54,0,0.024169233824683424,15.55,15.55,0
VXUP,15,8,54,-2,-0.03496353496353491,7.5,7.5,0
ACRX,15,8,54,3,0.007329689727106923,3.02,3.03,0
ACET,15,8,54,4,0.0013452153619681723,25.1,25.19,1
AKAO,15,8,54,2,0.03519990621580233,3.67,3.67,0
ACHN,15,8,54,4,0.0159751569500223,8.82,8.86,1
ACIW,15,8,54,2,-0.006217865886792245,19.53,19.59,0
ACRS,15,8,54,2,-0.008630576439418619,20.25,20.26,0
ACTS,15,8,54,1,0.03774315480196313,2.04,2.04,0
ACPW,15,8,54,-2,-0.013301774573020769,0.3501,0.345,0
ACTA,15,8,54,2,0.003467922317269524,9.85,9.86,0
ACUR,15,8,54,1,0.00589433707905373,2.1,2.11,0
ACXM,15,8,54,-2,0.0015481150426498586,22.69,22.735,0
ADMS,15,8,54,1,0.00535037677310006,15.32,15.32,0
