Ticker,run,hour,minute,intRank, perRank, lastPrice , currentPrice ,alertVal
TFSC,27,8,54,-1,-0.04629535864978899,10.0,9.48,0
TFSCR,27,8,54,-1,-0.06592592592592592,0.5,0.45,0
TFSCU,27,8,54,0,0.0,9.05,9.05,0
TFSCW,27,8,54,0,1.1231465163140357,0.4,0.33,0
PIH,27,8,54,-1,-0.00437056331955872,6.5,6.47,0
FLWS,27,8,54,3,0.005404509416503053,9.51,9.56,0
FCCY,27,8,54,-1,-0.0016942255230510983,12.495,12.4724,0
VNET,27,8,54,-1,0.01617402185169419,9.51,9.655,0
CAFD,27,8,54,1,0.017104656467638684,16.015,16.25,0
EGHT,27,8,54,-1,0.006174233760305294,15.15,15.24,0
AVHI,27,8,54,-2,0.004469771129819847,12.6,12.65,0
ABEO,27,8,54,0,-0.006629848611108649,2.45,2.43,0
ABEOW,27,8,54,0,0.0,1.11,1.11,0
ABIL,27,8,54,3,0.03647757930095153,4.53,4.685,0
AXAS,27,8,54,1,0.0091002484276428,1.18,1.19,0
ACTG,27,8,54,-1,-0.01989120390099995,4.7,4.6,0
ACST,27,8,54,-1,-0.050266431702372674,1.5801,1.47,0
AXDX,27,8,54,-1,0.00488900473023999,19.36,19.45,0
ANCX,27,8,54,-3,0.0019456916689778235,21.37,21.4,0
ARAY,27,8,54,1,0.005761774600143189,5.33,5.36,0
OILU,27,8,54,-1,-0.01843215271642562,24.71,24.2,0
VXDN,27,8,54,1,0.0021513197556359033,15.55,15.2,0
VXUP,27,8,54,-3,0.0023297478297796617,7.5,7.77,0
ACRX,27,8,54,2,9.264736142455027E-4,3.02,3.01,1
ACET,27,8,54,2,0.0010175769629872083,25.1,25.175,1
AKAO,27,8,54,2,0.004271429198549531,3.67,3.55,0
ACHN,27,8,54,4,2.723440432022984E-4,8.82,8.72,1
ACIW,27,8,54,5,5.440708039841612E-4,19.53,19.72,1
ACRS,27,8,54,3,4.2032689863954337E-4,20.25,20.44,0
ACTS,27,8,54,-2,0.006586356573337393,2.04,1.97,0
ACPW,27,8,54,-4,0.01038381492844923,0.3501,0.35,0
ACTA,27,8,54,-1,4.397577696291649E-4,9.85,9.83,0
ACUR,27,8,54,0,0.0025536035592217746,2.1,2.1,0
ACXM,27,8,54,-4,2.2918270215967912E-4,22.69,22.7034,0
