Ticker,run,hour,minute,intRank, perRank, lastPrice , currentPrice ,alertVal
TFSC,29,8,54,0,0.008556962025316452,10.0,10.0,0
TFSCR,29,8,54,-1,0.059999999999999984,0.54,0.5,0
TFSCU,29,8,54,0,0.0,9.05,9.05,0
TFSCW,29,8,54,0,0.9473811904208325,0.391,0.25,0
PIH,29,8,54,-1,3.208640921160272E-4,6.435,6.5,0
FLWS,29,8,54,3,0.004365035617357365,9.58,9.55,1
FCCY,29,8,54,-2,-0.005895501941382809,12.4724,12.42,0
VNET,29,8,54,-1,0.016721221559854428,9.71,9.66,0
CAFD,29,8,54,1,-0.0026508624486323157,16.5037,15.92,0
EGHT,29,8,54,-1,0.00618979505625002,15.18,15.24,0
AVHI,29,8,54,-4,-0.0010675781472102453,12.64,12.58,0
ABEO,29,8,54,0,-0.006629848611108649,2.43,2.43,0
ABEOW,29,8,54,0,0.0,1.11,1.11,0
ABIL,29,8,54,3,0.016467372984220283,4.58,4.591,0
AXAS,29,8,54,0,6.968870831049762E-4,1.19,1.18,0
ACTG,29,8,54,1,-0.008722637698664059,4.635,4.6515,0
ACST,29,8,54,0,-0.029858268437066533,1.47,1.5,0
AXDX,29,8,54,1,0.009001906453230252,19.451,19.53,0
ANCX,29,8,54,-3,1.0197387804706734E-4,21.49,21.36,0
ARAY,29,8,54,-1,0.002026944079847386,5.35,5.34,0
OILU,29,8,54,-1,-0.01429584345152778,24.32,24.3,0
VXDN,29,8,54,1,0.020032941011347623,15.55,15.47,0
VXUP,29,8,54,-3,-0.024419286919255084,7.5,7.56,0
ACRX,29,8,54,4,0.010871321919674135,3.03,3.04,1
ACET,29,8,54,4,0.007568150104628081,25.19,25.34,1
AKAO,29,8,54,2,0.02989985917897714,3.67,3.64,0
ACHN,29,8,54,4,0.009555380885416563,8.86,8.8,1
ACIW,29,8,54,5,0.0010982820327541457,19.59,19.73,1
ACRS,29,8,54,1,-0.011347435825863735,20.26,20.2,0
ACTS,29,8,54,-2,1.1508359940348711E-5,2.04,1.9541,0
ACPW,29,8,54,-4,-0.0036120442848011714,0.345,0.3451,0
ACTA,29,8,54,1,0.004505838546486775,9.86,9.87,0
ACUR,29,8,54,0,-0.01638117414332846,2.11,2.06,0
ACXM,29,8,54,-2,0.006679324898754254,22.735,22.85,0
ADMS,29,8,54,1,0.007465774328719012,15.32,15.35,0
ADMP,29,8,54,-3,-0.0142101085378235,3.0301,3.06,0
ADAP,29,8,54,0,-0.018743071543390884,7.78,7.83,0
ADUS,29,8,54,-1,0.0042298765282159905,19.375,19.58,0
AEY,29,8,54,-3,-0.023032243094365436,1.8487,1.85,0
IOTS,29,8,54,3,0.010158078721234455,3.71,3.83,1
ADMA,29,8,54,0,0.002407066506685578,6.71,6.72,0
ADTN,29,8,54,-1,0.0016835819444825212,18.0,17.99,0
ADRO,29,8,54,3,0.03755607008998389,13.37,13.34,1
ADES,29,8,54,-1,-0.006331920534724499,6.7,6.9501,0
AMD,29,8,54,7,0.044422475782905466,5.51,5.43,1
ADXS,29,8,54,-1,-0.00433115223281064,7.8,7.9,0
ADXSW,29,8,54,1,0.005835440013072555,4.4899,4.4899,0
ADVM,29,8,54,-1,0.008740417327741511,3.19,3.195,0
MAUI,29,8,54,0,0.0,23.7,23.7,0
YPRO,29,8,54,0,8.394855153640067E-7,23.68,23.699,0
AEGR,29,8,54,0,-0.05031349324045818,1.51,1.505,0
AEGN,29,8,54,-6,-0.014027746302129093,20.11,20.02,0
AGLE,29,8,54,-1,0.01424378168436028,4.48,4.5158,0
AEHR,29,8,54,0,0.09526300166446634,1.78,1.804,0
AMTX,29,8,54,0,4.951760960570546E-4,1.961,2.0,0
AERI,29,8,54,0,0.013096840438497143,17.62,17.62,0
AEZS,29,8,54,-4,0.01814485507720868,3.52,3.56,0
AEMD,29,8,54,-4,-0.026592207039243827,6.98,7.18,0
AFMD,29,8,54,3,0.004325380455348565,2.85,2.83,1
AGEN,29,8,54,0,0.011487917604012302,4.8,4.78,0
AGRX,29,8,54,1,-0.016805121394312086,6.78,6.86,0
AGYS,29,8,54,3,0.002246785659381065,11.11,11.11,1
AGFS,29,8,54,3,0.03368323482959833,5.76,5.76,1
AGFSW,29,8,54,1,0.22060439560439557,0.91,0.91,0
AIMT,29,8,54,2,-0.0015264783939804864,10.88,10.88,0
AIRT,29,8,54,2,0.015996618799305272,20.3994,20.3994,0
ATSG,29,8,54,-4,-0.00727868978589396,14.33,14.33,0
AMCN,29,8,54,-2,-0.017547074848505418,2.95,2.95,0
AIXG,29,8,54,-2,-0.004877495613170045,5.849,5.849,0
AKTX,29,8,54,0,0.06684089889125197,10.4,10.4,0
AKBA,29,8,54,0,-0.002146271254875391,8.45,8.45,0
AKER,29,8,54,1,-0.014959092692828533,2.8901,2.8901,0
ALSK,29,8,54,5,0.014687168985930876,1.69,1.69,1
AMRI,29,8,54,2,0.008828019281009424,14.27,14.27,0
ABDC,29,8,54,1,0.0011645704347509136,12.16,12.16,0
ADHD,29,8,54,2,0.07510406494565161,4.32,4.32,1
ALDX,29,8,54,-1,-0.02847000368665833,5.87,5.87,0
ALIM,29,8,54,-1,-0.04962593402537757,1.18,1.18,0
ALJJ,29,8,54,0,-0.01143021312690905,4.9,4.9,0
AIQ,29,8,54,3,0.04668085451140028,6.275,6.275,0
AHGP,29,8,54,0,0.041588467145399745,23.61,23.61,0
ARLP,29,8,54,-4,0.0026478672469309357,17.87,17.6,0
AHPI,29,8,54,0,0.0020409553563897394,0.633,0.6394,0
AMOT,29,8,54,-1,0.001979469468157278,22.35,22.83,0
ALQA,29,8,54,-1,0.003078708144275821,1.1603,1.16,0
ALLT,29,8,54,1,3.462980269245911E-4,4.88,4.92,0
MDRX,29,8,54,-4,9.604142951219995E-5,13.98,13.93,0
AOSL,29,8,54,-4,8.937469802091282E-4,14.16,14.37,0
SMCP,29,8,54,0,0.0,23.36,23.36,0
ATEC,29,8,54,2,0.0013278798413852606,0.3746,0.368,0
AMRN,29,8,54,2,8.646658471148467E-4,2.32,2.329,0
AMRK,29,8,54,-5,3.5170148031264496E-4,16.64,16.76,0
AYA,29,8,54,-4,0.0022747613066801935,15.49,15.73,0
AMBC,29,8,54,3,0.0017449329281642757,18.01,17.67,1
AMBCW,29,8,54,-1,0.0036563407866621704,8.5,8.28,0
AMDA,29,8,54,4,0.010354806924171497,0.841,0.8699,1
ATAX,29,8,54,-2,1.5032926509723761E-5,5.585,5.5899,0
AMOV,29,8,54,0,0.0019483522836101497,12.6988,12.44,0
AGNC,29,8,54,-2,1.1474430641627642E-5,19.23,19.215,0
MTGE,29,8,54,-3,1.3431300189782136E-4,15.74,15.7,0
MTGEP,29,8,54,0,7.229803141935317E-6,25.2499,25.2656,0
ACSF,29,8,54,-4,1.248444938304243E-4,10.55,10.5,0
ACAS,29,8,54,-4,1.0552644495589666E-4,16.065,15.985,0
AETI,29,8,54,-1,0.0029418184287451077,2.48,2.56,0
AMIC,29,8,54,0,0.0,24.7,24.7,0
AMRB,29,8,54,0,7.066544768769174E-6,10.63,10.65,0
AMSWA,29,8,54,-1,8.840955160200961E-4,11.0,10.8,0
AMSC,29,8,54,0,0.0015686901138028293,9.31,9.128,0
ASRV,29,8,54,1,4.915653744077056E-4,3.04,3.01,0
