Ticker,run,hour,minute,intRank, perRank, lastPrice , currentPrice ,alertVal
TFSC,26,8,54,0,0.005704641350210968,9.48,10.0,0
TFSCR,26,8,54,0,0.03407407407407406,0.45,0.5,0
TFSCU,26,8,54,0,0.0,9.05,9.05,0
TFSCW,26,8,54,1,1.2981465163140358,0.33,0.4,0
PIH,26,8,54,0,2.4482129582593416E-4,6.47,6.5,0
FLWS,26,8,54,2,1.468858623494551E-4,9.56,9.51,0
FCCY,26,8,54,0,1.144979663445676E-4,12.4724,12.495,0
VNET,26,8,54,-2,9.269135446490183E-4,9.655,9.51,0
CAFD,26,8,54,0,0.002430913102043965,16.25,16.015,0
EGHT,26,8,54,-2,2.3363970089936275E-4,15.24,15.15,0
AVHI,26,8,54,-3,5.015171615658223E-4,12.65,12.6,0
ABEO,26,8,54,1,0.0015334166950138062,2.43,2.45,0
ABEOW,26,8,54,0,0.0,1.11,1.11,0
ABIL,26,8,54,2,0.002261243760112823,4.685,4.53,0
AXAS,26,8,54,0,6.256721564563503E-4,1.19,1.18,0
ACTG,26,8,54,0,0.0013853918436810136,4.6,4.7,0
ACST,26,8,54,0,0.019412702529638004,1.47,1.5801,0
AXDX,26,8,54,-2,2.4024439966148416E-4,19.45,19.36,0
ANCX,26,8,54,-4,5.418545140879038E-4,21.4,21.37,0
ARAY,26,8,54,0,1.3325677650336768E-4,5.36,5.33,0
OILU,26,8,54,0,0.0022072645235582528,24.2,24.71,0
VXDN,26,8,54,2,0.024659358340844997,15.55,15.55,0
VXUP,26,8,54,-4,-0.03367025217022028,7.5,7.5,0
ACRX,26,8,54,3,0.004237731892391274,3.02,3.02,1
ACET,26,8,54,1,-0.0019704708457777033,25.1,25.1,1
AKAO,26,8,54,3,0.03696897688247327,3.67,3.67,0
ACHN,26,8,54,5,0.011610212523927882,8.82,8.82,1
ACIW,26,8,54,4,-0.00918455182786416,19.53,19.53,1
ACRS,26,8,54,2,-0.008962389150743235,20.25,20.25,0
ACTS,26,8,54,-1,0.0409000820635335,2.04,2.04,0
ACPW,26,8,54,-3,0.010669447604827536,0.3501,0.3501,0
ACTA,26,8,54,0,0.002470214622421,9.85,9.85,0
ACUR,26,8,54,0,0.0025536035592217746,2.1,2.1,0
ACXM,26,8,54,-5,-3.6138583023332185E-4,22.69,22.69,0
ADMS,26,8,54,0,0.005480138068499623,15.32,15.32,0
ADMP,26,8,54,-4,-0.02475521805051456,3.0301,3.0301,0
ADAP,26,8,54,-1,-0.023245927553915576,7.8,7.8,0
ADUS,26,8,54,-2,-0.006398982121607834,19.375,19.375,0
AEY,26,8,54,-4,-0.02448466912346701,1.8487,1.8487,0
IOTS,26,8,54,3,0.0014972757704612306,3.8,3.8,1
ADMA,26,8,54,-1,9.167535409628077E-4,6.71,6.71,0
ADTN,26,8,54,0,0.0016826558468029985,17.99,17.99,0
ADRO,26,8,54,4,0.03737812107034333,13.34,13.34,1
ADES,26,8,54,0,-0.0076746674399139955,6.9501,6.9501,0
AMD,26,8,54,6,0.04426243528004662,5.43,5.43,1
ADXS,26,8,54,-2,-0.004582714378961954,7.9,7.9,0
ADXSW,26,8,54,1,0.005835440013072555,4.4899,4.4899,0
ADVM,26,8,54,-1,0.008737964435536313,3.195,3.195,0
MAUI,26,8,54,0,0.0,23.7,23.7,0
YPRO,26,8,54,0,1.9621227883778736E-7,23.699,23.699,0
AEGR,26,8,54,1,-0.050346423201734436,1.505,1.505,0
AEGN,26,8,54,-5,-0.01406075575269681,20.02,20.02,0
AGLE,26,8,54,-2,0.014082198827997992,4.5158,4.5158,0
AEHR,26,8,54,-1,0.09295061323764137,1.804,1.804,0
AMTX,26,8,54,0,1.0736375541452528E-4,2.0,2.0,0
AERI,26,8,54,0,0.01309393661131745,17.62,17.62,0
AEZS,26,8,54,-3,0.018040911702969373,3.56,3.56,0
AEMD,26,8,54,-5,-0.028582246336603105,7.18,7.18,0
AFMD,26,8,54,4,0.004175186679345108,2.83,2.83,1
AGEN,26,8,54,0,0.011470483852268929,4.78,4.78,0
AGRX,26,8,54,0,-0.017263633296831143,6.86,6.86,0
AGYS,26,8,54,3,0.01991352401577469,11.11,11.31,1
AGFS,26,8,54,3,0.03278567470238704,5.76,5.76,1
AGFSW,26,8,54,1,0.20398351648351645,0.91,0.91,0
AIMT,26,8,54,2,-0.007085331350618765,10.88,10.82,0
AIRT,26,8,54,2,0.015884250673656286,20.3994,20.4016,0
ATSG,26,8,54,-4,-0.01086544304675514,14.33,14.28,0
AMCN,26,8,54,-2,-0.021423043840753556,2.95,2.94,0
AIXG,26,8,54,-2,-0.006454701838125839,5.849,5.84,0
AKTX,26,8,54,0,0.024693810126983975,10.4,9.99,0
AKBA,26,8,54,0,-9.670292632541048E-4,8.45,8.46,0
AKER,26,8,54,3,0.012102886380562911,2.8901,2.97,0
ALSK,26,8,54,5,0.03178088852359974,1.69,1.72,1
AMRI,26,8,54,2,0.01152844622305254,14.27,14.31,0
ABDC,26,8,54,1,0.00850479047338364,12.16,12.25,0
ADHD,26,8,54,2,0.06775610589278291,4.32,4.304,1
ALDX,26,8,54,-1,-4.281266512726825E-4,5.87,6.04,0
ALIM,26,8,54,-1,-0.030970332365626418,1.18,1.205,0
ALJJ,26,8,54,0,-0.009516738322362743,4.9,4.91,0
AIQ,26,8,54,3,0.05687159799519736,6.275,6.35,0
AHGP,26,8,54,0,0.01575147480308058,23.61,23.025,0
ARLP,26,8,54,-2,0.022768124536960477,17.83,17.96,0
AHPI,26,8,54,-1,-0.008069629161777656,0.6201,0.633,0
AMOT,26,8,54,-1,-0.009749588228553537,22.4,22.57,0
ALQA,26,8,54,1,0.019948839218872708,1.17,1.1799,0
ALLT,26,8,54,1,2.9981756421237037E-4,4.9,4.9201,0
MDRX,26,8,54,-2,0.004744390702014453,13.985,13.995,0
AOSL,26,8,54,-4,-0.006924138773469486,14.13,14.26,0
SMCP,26,8,54,0,0.0,23.36,23.36,0
ATEC,26,8,54,2,0.018679650524060946,0.37,0.3745,0
AMRN,26,8,54,2,0.005532364049295668,2.315,2.34,0
AMRK,26,8,54,-5,-0.006199215997501221,16.61,16.651,0
AYA,26,8,54,-4,-0.01192961505310189,15.69,15.51,0
AMBC,26,8,54,3,0.02006777826100396,18.085,18.0,1
AMBCW,26,8,54,0,0.029538693727838718,8.5466,8.5,0
AMDA,26,8,54,2,-0.02998990687632807,0.8079,0.836,0
ATAX,26,8,54,-3,-8.623171182530563E-4,5.58,5.585,0
AMOV,26,8,54,0,0.0015243721764182094,12.67,12.44,0
AGNC,26,8,54,0,0.0010514484444708876,19.2175,19.235,0
MTGE,26,8,54,-3,0.0010847722827426057,15.805,15.715,0
MTGEP,26,8,54,0,6.84342724508423E-6,25.24,25.2656,0
ACSF,26,8,54,-3,0.002345058927654297,10.5235,10.5235,0
ACAS,26,8,54,-3,0.004771061211368587,16.06,16.06,0
AETI,26,8,54,-2,-0.02931624608738395,2.48,2.48,0
AMIC,26,8,54,0,0.0,24.7,24.7,0
AMRB,26,8,54,-1,-0.0018744009999160447,10.63,10.63,0
AMSWA,26,8,54,0,0.015394355796420199,10.96,10.96,0
AMSC,26,8,54,1,0.020019069528513986,9.3,9.3,0
ASRV,26,8,54,2,0.010349130078246591,3.04,3.04,0
FOLD,26,8,54,2,0.03131139977776258,6.145,6.145,0
AMKR,26,8,54,1,7.371083640366816E-5,6.21,6.21,0
AMPH,26,8,54,0,0.001696434038428455,17.49,17.49,0
ASYS,26,8,54,6,0.017865297738513763,5.8,5.8,1
