Ticker,run,hour,minute,intRank, perRank, lastPrice , currentPrice ,alertVal
TFSC,17,8,54,0,0.0,10.0,10.0,0
TFSCR,17,8,54,1,0.085925925925926,0.54,0.54,0
TFSCU,17,8,54,0,0.0,9.05,9.05,0
TFSCW,17,8,54,0,1.0895179028132995,0.391,0.391,0
PIH,17,8,54,0,0.0,6.5,6.5,0
FLWS,17,8,54,2,0.00530598794095035,9.58,9.56,0
FCCY,17,8,54,-1,-0.0017185055321993553,12.4724,12.4724,0
VNET,17,8,54,0,0.017256068566204714,9.68,9.67,0
CAFD,17,8,54,-1,0.0057488263553856795,16.29,16.1,0
EGHT,17,8,54,-2,-0.0015108159848983452,15.1,15.125,0
AVHI,17,8,54,-2,-0.0019481607590096112,12.601,12.57,0
ABEO,17,8,54,-1,0.0012022520590012353,2.4123,2.45,0
ABEOW,17,8,54,0,0.0,1.11,1.11,0
ABIL,17,8,54,1,0.01133694267778985,4.58,4.58,0
AXAS,17,8,54,0,3.224940436795734E-4,1.19,1.18,0
ACTG,17,8,54,0,-0.01879250017404455,4.6,4.61,0
ACST,17,8,54,0,-0.04115820920268311,1.48,1.5,0
AXDX,17,8,54,0,0.007902707507255437,19.5187,19.51,0
ANCX,17,8,54,-2,0.005639810494148046,21.39,21.48,0
ARAY,17,8,54,-2,-8.757167512307081E-4,5.33,5.325,0
OILU,17,8,54,0,0.0012392458590639623,24.3,24.71,0
VXDN,17,8,54,0,0.019051334574951374,15.6,15.47,0
VXUP,17,8,54,-1,-0.02696353496353496,7.56,7.56,0
ACRX,17,8,54,4,0.010630019760110299,3.03,3.04,1
ACET,17,8,54,4,0.007386273741941391,25.02,25.34,1
AKAO,17,8,54,2,0.027055136638738056,3.68,3.64,0
ACHN,17,8,54,4,0.009237895971568813,8.77,8.8,1
ACIW,17,8,54,3,9.28637431227182E-4,19.59,19.73,0
ACRS,17,8,54,1,-0.011592076933002146,20.2,20.2,0
ACTS,17,8,54,0,-0.004364688335291814,2.04,1.9541,0
ACPW,17,8,54,-2,-0.012809020949832235,0.35,0.3451,0
ACTA,17,8,54,2,0.004484180387099921,9.85,9.87,0
ACUR,17,8,54,-1,-0.017939057015003784,2.08,2.06,0
ACXM,17,8,54,-2,0.006607556293249468,22.73,22.85,0
ADMS,17,8,54,1,0.007320562548119499,15.28,15.35,0
