Ticker,run,hour,minute,intRank, perRank, lastPrice , currentPrice ,alertVal
TFSC,31,8,54,-1,-0.043443037974683504,10.0,9.48,0
TFSCR,31,8,54,-1,-0.026666666666666644,0.54,0.45,0
TFSCU,31,8,54,0,0.0,9.05,9.05,0
TFSCW,31,8,54,0,1.3553709602418045,0.391,0.33,0
PIH,31,8,54,-2,-0.004294520523268627,6.5,6.47,0
FLWS,31,8,54,3,0.005418714201668024,9.58,9.56,1
FCCY,31,8,54,-1,-0.0016765003310768153,12.4724,12.4724,0
VNET,31,8,54,-1,0.016208970306496377,9.68,9.655,0
CAFD,31,8,54,1,0.01813484941331709,16.29,16.25,0
EGHT,31,8,54,-1,0.006274966529021221,15.1,15.24,0
AVHI,31,8,54,-2,0.004490318499395536,12.601,12.65,0
ABEO,31,8,54,0,-0.006576403382104823,2.4123,2.43,0
ABEOW,31,8,54,0,0.0,1.11,1.11,0
ABIL,31,8,54,3,0.03699714501778877,4.58,4.685,0
AXAS,31,8,54,1,0.009171463354291426,1.19,1.19,0
ACTG,31,8,54,0,-0.01979433500060983,4.6,4.6,0
ACST,31,8,54,-2,-0.04994835852715664,1.48,1.47,0
AXDX,31,8,54,-1,0.004903607803547616,19.5187,19.45,0
ANCX,31,8,54,-1,0.001973976441462674,21.39,21.4,0
ARAY,31,8,54,-1,0.005782802727457285,5.33,5.36,0
OILU,31,8,54,-2,-0.018411069788976397,24.3,24.2,0
VXDN,31,8,54,2,0.025204240300293973,15.55,15.55,0
VXUP,31,8,54,-3,-0.03231877540751588,7.4753,7.5,0
ACRX,31,8,54,4,0.00445739831467501,2.99,3.02,1
ACET,31,8,54,2,-0.0019241911327491628,25.19,25.1,1
AKAO,31,8,54,3,0.038141617420735324,3.67,3.67,0
ACHN,31,8,54,5,0.011828108158143787,8.8,8.82,1
ACIW,31,8,54,3,-0.00906332717243186,19.65,19.53,1
ACRS,31,8,54,1,-0.008870717128733958,20.19,20.25,0
ACTS,31,8,54,0,0.043500213246138536,1.9934,2.04,0
ACPW,31,8,54,-4,0.018579378636819396,0.3184,0.3501,0
ACTA,31,8,54,1,0.0024877416386689085,9.83,9.85,0
ACUR,31,8,54,2,0.002966621648003373,2.09,2.1,0
ACXM,31,8,54,-4,-3.312886352468548E-4,22.725,22.69,0
ADMS,31,8,54,1,0.005627326681103216,15.17,15.32,0
ADMP,31,8,54,-5,-0.023987313511812235,3.058,3.0301,0
ADAP,31,8,54,0,-0.022461324934276345,7.9,7.8,0
ADUS,31,8,54,-3,-0.006251837402472717,19.4,19.375,0
AEY,31,8,54,-3,-0.023624474670203614,1.83,1.8487,0
IOTS,31,8,54,1,0.0023114746903413847,3.81,3.8,1
ADMA,31,8,54,0,0.0012165903162094198,6.6,6.71,0
ADTN,31,8,54,-1,0.0027969297051048314,18.025,18.01,0
ADRO,31,8,54,3,0.025635910766660466,13.4,13.18,1
ADES,31,8,54,-1,-0.0062334284057318536,6.8766,6.95,0
AMD,31,8,54,7,0.05182921229026692,5.49,5.47,1
ADXS,31,8,54,-1,7.514153955386548E-4,7.88,7.94,0
ADXSW,31,8,54,1,0.005835440013072555,4.4899,4.4899,0
ADVM,31,8,54,-1,0.00724837327599143,3.22,3.19,0
MAUI,31,8,54,0,0.0,23.7,23.7,0
YPRO,31,8,54,0,8.394855153640067E-7,23.699,23.699,0
AEGR,31,8,54,1,-0.043668974968032924,1.505,1.515,0
AEGN,31,8,54,-4,-0.00753972334704032,20.04,20.15,0
AGLE,31,8,54,-2,-3.2727992155659295E-4,4.45,4.45,0
AEHR,31,8,54,0,0.04330507657885547,1.8089,1.71,0
AMTX,31,8,54,0,5.488579737643173E-4,1.9854,2.0,0
AERI,31,8,54,0,0.011411712365526013,17.53,17.59,0
AEZS,31,8,54,-4,0.015346273646269695,3.5425,3.55,0
AEMD,31,8,54,-3,-0.0029153268164026115,7.18,7.35,0
AFMD,31,8,54,3,-0.0024462672712246177,2.87,2.81,1
AGEN,31,8,54,0,0.011497734315108676,4.795,4.78,0
AGRX,31,8,54,2,-0.003685587866615315,6.86,6.95,0
AGYS,31,8,54,4,0.020248585839399164,11.11,11.31,1
AGFS,31,8,54,3,0.03368323482959833,5.76,5.76,1
AGFSW,31,8,54,1,0.22060439560439557,0.91,0.91,0
AIMT,31,8,54,1,-0.007041184276333473,10.88,10.82,0
AIRT,31,8,54,3,0.016104465108510366,20.3994,20.4016,0
ATSG,31,8,54,-5,-0.010767873316947743,14.33,14.28,0
AMCN,31,8,54,-3,-0.020936905356980073,2.95,2.94,0
AIXG,31,8,54,-3,-0.006416220181472377,5.849,5.84,0
AKTX,31,8,54,-1,0.027417821968175035,10.4,9.99,0
AKBA,31,8,54,1,-9.62839302212484E-4,8.45,8.46,0
AKER,31,8,54,2,0.012687009518167732,2.8901,2.97,0
ALSK,31,8,54,6,0.03243864827587172,1.69,1.72,1
AMRI,31,8,54,3,0.011631102672740392,14.27,14.31,0
ABDC,31,8,54,2,0.008565886224224587,12.16,12.25,0
ADHD,31,8,54,1,0.0714003612419479,4.32,4.304,1
ALDX,31,8,54,0,4.908140305477891E-4,5.87,6.04,0
ALIM,31,8,54,0,-0.028439493347411356,1.18,1.205,0
ALJJ,31,8,54,1,-0.009389396800378482,4.9,4.91,0
AIQ,31,8,54,4,0.05863304574645992,6.275,6.35,1
AHGP,31,8,54,-1,0.01681083055073643,23.61,23.025,0
ARLP,31,8,54,-3,0.01060241270147622,17.74,17.74,0
AHPI,31,8,54,-1,-0.028143592657373137,0.6201,0.6201,0
AMOT,31,8,54,-2,-0.01685539693569729,22.4,22.4,0
ALQA,31,8,54,0,0.011699397799448244,1.17,1.17,0
ALLT,31,8,54,0,-0.0057512629486852155,4.89,4.89,0
MDRX,31,8,54,-3,0.0029675417884498113,13.97,13.97,0
AOSL,31,8,54,-5,-0.01789539706989523,14.1,14.1,0
SMCP,31,8,54,0,0.0,23.36,23.36,0
ATEC,31,8,54,3,0.006762662450080918,0.37,0.37,0
AMRN,31,8,54,3,0.0012940346749378995,2.33,2.33,0
AMRK,31,8,54,-6,-0.0062115443430765535,16.65,16.65,0
AYA,31,8,54,-5,-9.038782355957576E-4,15.68,15.68,0
AMBC,31,8,54,4,0.025514033097943457,18.09,18.09,1
AMBCW,31,8,54,0,0.03585440841951246,8.5466,8.5466,0
AMDA,31,8,54,3,-0.06344677946506869,0.8057,0.8057,1
ATAX,31,8,54,-3,-0.001756018433979734,5.58,5.58,0
AMOV,31,8,54,1,0.02043709826431758,12.67,12.67,0
AGNC,31,8,54,-3,-2.487389443257939E-4,19.21,19.21,0
MTGE,31,8,54,-2,0.0071406824286494915,15.81,15.81,0
MTGEP,31,8,54,-1,-0.0010060055841039934,25.24,25.24,0
ACSF,31,8,54,-4,0.0023749009145029878,10.55,10.5235,0
ACAS,31,8,54,-4,0.004804816980081289,16.08,16.06,0
AETI,31,8,54,-2,-0.02830818157125492,2.48,2.48,0
AMIC,31,8,54,0,0.0,24.7,24.7,0
AMRB,31,8,54,-1,-0.0018708677275316601,10.63,10.63,0
AMSWA,31,8,54,-1,0.015746933786501688,10.99,10.96,0
AMSC,31,8,54,0,0.020433226564482616,9.31,9.3,0
ASRV,31,8,54,2,0.010458342783045662,3.04,3.04,0
FOLD,31,8,54,3,0.03203886661493505,6.11,6.145,0
AMKR,31,8,54,1,7.500737988357792E-5,6.205,6.21,0
AMPH,31,8,54,1,0.0017048490087364964,17.52,17.49,0
ASYS,31,8,54,5,0.018281025474873317,5.81,5.8,1
AFSI,31,8,54,1,-0.01058507716145694,24.92,24.93,0
AMRS,31,8,54,-4,-0.021604538658469827,0.4007,0.4,0
AVXL,31,8,54,4,0.03631901499673548,7.36,7.35,1
ANCB,31,8,54,0,-0.003514248010371062,24.84,24.84,0
ANDA,31,8,54,0,0.0,9.73,9.73,0
ANDAR,31,8,54,0,0.0,0.1801,0.1801,0
ANDAU,31,8,54,-1,-9.067462517232491E-4,10.1,10.1,0
ANDAW,31,8,54,0,0.0,0.08,0.08,0
ANGI,31,8,54,0,0.006452926323538472,6.76,6.75,0
ANGO,31,8,54,-2,0.004526220515133813,16.63,16.58,0
ATRS,31,8,54,-1,-0.0046479835953521205,1.05,1.045,0
ANTH,31,8,54,1,0.01111824761697311,3.29,3.29,0
ABAC,31,8,54,-2,0.12154819313733548,0.645,0.7497,0
APIC,31,8,54,3,0.027017533780018817,11.98,12.03,0
APOL,31,8,54,-3,0.003908178448877749,9.07,9.095,0
AINV,31,8,54,4,0.004557173113453249,5.585,5.585,1
AMEH,31,8,54,0,0.0,5.5,5.5,0
APPF,31,8,54,-3,0.0024749434088172334,15.08,15.16,0
ARCI,31,8,54,0,-0.004488382103659368,1.3001,1.3,0
APDN,31,8,54,-2,-0.011871810005114693,3.1499,3.15,0
APDNW,31,8,54,-1,-0.034707936813098805,1.05,1.01,0
AGTC,31,8,54,-2,-0.012255479037380146,15.73,15.75,0
AMAT,31,8,54,-3,-9.329991218660931E-4,26.48,26.541,0
AMCC,31,8,54,0,0.00902257888378655,6.91,6.91,0
AAOI,31,8,54,-3,-0.002830814462606289,11.78,11.77,0
AREX,31,8,54,3,0.06983823469990541,2.1,2.09,1
APRI,31,8,54,-1,-0.009626646889506969,0.345,0.345,0
APTO,31,8,54,-1,-0.005603153497010675,2.4858,2.44,0
AQMS,31,8,54,1,0.025376647976884964,10.01,10.0,0
AQXP,31,8,54,5,0.006940281268002788,7.46,7.45,1
AUMA,31,8,54,0,0.0,9.92,9.92,0
AUMAU,31,8,54,0,0.0,9.95,9.95,0
AUMAW,31,8,54,-4,0.036634736908516166,0.1092,0.1195,0
ARDM,31,8,54,1,0.0016059096563292158,4.55,4.5,0
ARLZ,31,8,54,0,-2.7192789873198633E-4,3.58,3.535,0
PETX,31,8,54,4,0.006168110452744383,6.7,6.73,1
ABUS,31,8,54,2,6.040692017679379E-4,4.19,4.23,0
ARCW,31,8,54,1,2.176198563414826E-4,2.55,2.54,0
ABIO,31,8,54,1,-0.015242267457810939,3.04,3.02,0
RKDA,31,8,54,-1,-0.0028106103888573247,2.35,2.372,0
ARCB,31,8,54,0,0.0035664149284419487,17.99,17.9,0
APLP,31,8,54,3,0.01093209604114756,14.1,13.77,1
ACAT,31,8,54,-3,-0.0011443396138008013,17.72,17.81,0
ARDX,31,8,54,0,0.011779717881204634,9.96,10.05,0
ARNA,31,8,54,3,0.022301134050564976,1.69,1.67,1
ARCC,31,8,54,-1,0.009477364920599205,14.535,14.48,0
ARGS,31,8,54,1,0.041915785321553475,6.2,6.18,0
ARIS,31,8,54,0,0.016656222361078783,5.24,5.28,0
ARIA,31,8,54,-2,0.006517941338699958,7.11,7.16,0
ARKR,31,8,54,1,0.013631937682570624,23.7,23.7,0
ARTX,31,8,54,1,-6.507100696570914E-4,2.7999,2.807,0
ARWA,31,8,54,0,0.0,10.0201,10.0201,0
ARWAR,31,8,54,0,0.0,0.2,0.2,0
ARWAU,31,8,54,0,0.0,10.2,10.2,0
ARWAW,31,8,54,0,0.0,0.1,0.1,0
ARQL,31,8,54,-2,-0.0050939412712091015,1.62,1.6,0
ARRY,31,8,54,2,0.007181901960004312,3.69,3.7,0
ARRS,31,8,54,-3,0.0040812520283151415,24.95,24.95,0
DWAT,31,8,54,-3,0.0010856119530789313,10.61,10.6047,0
ARWR,31,8,54,1,0.01455694361074809,5.85,5.84,1
ARTW,31,8,54,-1,-0.014208397935970639,2.9455,2.9455,0
ASBB,31,8,54,0,0.0,24.81,24.81,0
ASNA,31,8,54,3,0.03955612887034992,7.91,7.88,1
ASND,31,8,54,3,0.006366994033796177,12.98,13.02,0
ASCMA,31,8,54,1,0.00902609155281227,16.59,16.43,0
APWC,31,8,54,0,0.0,2.32,2.32,0
ASMB,31,8,54,-3,-0.060292628801356614,5.78,5.75,0
ASFI,31,8,54,1,0.011731039750234047,10.84,10.89,0
ALOT,31,8,54,0,0.0,15.79,15.79,0
ASTC,31,8,54,0,-0.00380766910071436,1.82,1.71,0
ASUR,31,8,54,0,0.0,4.99,4.99,0
ATAI,31,8,54,2,0.022549976574614904,4.3201,4.39,0
ATRA,31,8,54,-3,0.004178353584431461,21.48,21.74,0
ATHX,31,8,54,-1,0.0034521112095104085,2.2475,2.2465,0
AAPC,31,8,54,0,0.0,10.31,10.31,0
AAME,31,8,54,1,0.04279838921253584,4.25,4.25,0
ACBI,31,8,54,-1,-0.003507429584371618,15.06,15.09,0
ACFC,31,8,54,0,-0.007084129582628687,5.97,6.0,0
ABY,31,8,54,2,0.007301677401373395,20.1,20.1,0
ATLC,31,8,54,1,-0.0020795498352295175,2.92,2.89,0
AFH,31,8,54,-1,0.0036057277779434843,17.37,17.3,0
ATOS,31,8,54,2,0.006506141804079754,0.2841,0.2841,0
ATRC,31,8,54,9,0.01148958293242851,15.415,15.575,1
ATTU,31,8,54,0,0.01055845159926894,9.94,10.0599,0
LIFE,31,8,54,0,0.021388854798718333,2.71,2.72,0
AUDC,31,8,54,3,0.0049089139741027845,4.19,4.21,0
AUPH,31,8,54,1,0.003562827947344057,3.01,3.02,0
EARS,31,8,54,-3,-0.01933595111387934,3.77,3.7889,0
ABTL,31,8,54,2,0.0033839799113484616,14.66,14.55,0
AVEO,31,8,54,1,-0.021876607212614144,0.9251,0.9268,0
AVNW,31,8,54,-1,-0.015232890301009328,8.14,8.4,0
AVID,31,8,54,4,-0.0075099931759666574,6.39,6.4,1
AVGR,31,8,54,-6,0.013179746263532917,6.41,6.365,0
AVIR,31,8,54,0,-0.03326783426103942,1.375,1.37,0
AWRE,31,8,54,0,0.008990741821293816,4.56,4.55,0
ACLS,31,8,54,0,-0.001786508611328991,10.59,10.56,0
AXGN,31,8,54,-4,-0.017845855084645652,6.85,6.83,0
AXSM,31,8,54,1,0.007351301608563135,8.07,8.09,0
AXTI,31,8,54,-1,0.011582717953624408,3.37,3.337,0
BCOM,31,8,54,2,0.00632438470971931,25.02,25.0142,0
RILY,31,8,54,4,0.03989373594963959,9.09,9.12,1
BOSC,31,8,54,1,0.012940885630446177,2.93,3.01,0
BWINA,31,8,54,1,0.019419482462288615,24.17,24.23,0
BWINB,31,8,54,-3,0.00473769057386045,26.1,25.96,0
BLDP,31,8,54,-1,0.24331496701205307,2.01,1.71,0
BKMU,31,8,54,3,-0.001100118084608912,7.87,7.87,0
BOCH,31,8,54,1,-8.6183404912235E-4,6.41,6.4125,0
BKSC,31,8,54,1,0.02086807457267829,16.5,16.5,0
BOTJ,31,8,54,0,1.9549384663931912E-4,12.5,12.5,0
BFIN,31,8,54,-1,6.710671598609587E-4,12.66,12.6,0
BWFG,31,8,54,2,2.1043677758268188E-4,22.73,22.63,0
BZUN,31,8,54,-3,0.015285474173586104,7.26,7.062,0
BHAC,31,8,54,0,1.71479194776981E-5,9.98,9.99,0
BHACR,31,8,54,0,0.054151790747491504,0.2419,0.22,0
BHACU,31,8,54,0,3.063359549883033E-5,10.25,10.2,0
BHACW,31,8,54,0,0.05749711003319248,0.1284,0.12,0
BYBK,31,8,54,0,0.0,4.9846,4.9846,0
BV,31,8,54,2,4.7288423285574404E-4,4.29,4.26,0
BBCN,31,8,54,0,7.540174598944151E-4,15.89,16.06,0
BCBP,31,8,54,0,5.714138115042061E-6,10.6,10.6,0
BSF,31,8,54,3,0.0063254441952191424,9.84,9.6425,1
BBGI,31,8,54,-1,0.012317444932118018,4.42,4.76,0
BEBE,31,8,54,2,0.0028766963701938562,0.495,0.5055,0
BELFA,31,8,54,2,5.7713764753397796E-5,16.755,16.8,0
BELFB,31,8,54,-1,0.00155553686710397,19.17,19.09,0
BLPH,31,8,54,1,0.012633398168574658,1.89,2.01,0
BLCM,31,8,54,-1,0.005006825018515272,14.06,13.6904,0
BNCL,31,8,54,1,3.541758108695052E-4,13.24,13.24,1
BNTC,31,8,54,1,0.0360165710349037,1.31,1.31,0
BNTCW,31,8,54,0,0.0,0.47,0.47,0
BGCP,31,8,54,-1,0.004607512764538648,8.95,8.95,0
BGFV,31,8,54,1,0.038438371773445695,10.19,10.11,1
BIND,31,8,54,-1,-0.0041883624542088365,0.55,0.5486,0
ORPN,31,8,54,2,0.024325160288950334,1.65,1.65,0
BASI,31,8,54,-1,-0.035000000000000024,1.2,1.2,0
BIOC,31,8,54,-4,-0.04802514924343161,0.6299,0.6025,0
BCRX,31,8,54,4,0.04057442376612245,3.005,3.02,1
BIOD,31,8,54,3,0.03454138108473061,0.335,0.3332,1
BDSI,31,8,54,-2,-0.01833002791493622,2.515,2.51,0
BIOL,31,8,54,0,-0.04802298023858947,1.01,0.932,0
BLFS,31,8,54,-3,-0.009099541050839594,2.055,2.06,0
BLRX,31,8,54,-3,0.025678840169318057,0.7982,0.78,0
BVXV,31,8,54,0,0.0,3.5001,3.5001,0
BVXVW,31,8,54,0,0.0,0.6,0.6,0
BPTH,31,8,54,5,0.014145038494553373,1.6393,1.66,1
BIOS,31,8,54,4,0.052020043022866405,2.695,2.71,1
BBC,31,8,54,2,0.008178545585988064,19.0,19.01,0
BSTG,31,8,54,1,0.010490916553959092,1.15,1.15,0
BSPM,31,8,54,0,0.0030262428164089103,4.15,4.15,0
BEAT,31,8,54,0,-0.009539250842484663,17.37,17.37,0
BBOX,31,8,54,-3,-0.011007135693174545,13.94,13.94,0
BDE,31,8,54,1,0.009698489672689055,4.5,4.5,0
BBRY,31,8,54,0,0.013010552330511425,6.73,6.73,0
BKCC,31,8,54,2,0.0046426580471964785,8.19,8.19,1
ADRD,31,8,54,1,0.006467903209139806,19.99,19.99,0
ADRU,31,8,54,1,0.006790568301240713,19.7,19.7,0
BLMN,31,8,54,1,-2.3929858217330434E-4,18.28,18.28,0
BCOR,31,8,54,2,0.014792635674807337,12.32,12.32,0
BLBD,31,8,54,3,-0.0025867136307395748,12.8,12.8,1
BHBK,31,8,54,-2,-0.004640042254419372,14.88,14.88,0
BKEP,31,8,54,3,0.00334630359419839,6.02,6.02,0
BKEPP,31,8,54,-1,-0.0016086997122990304,7.95,7.95,0
BPMC,31,8,54,-1,7.143963123075099E-4,20.66,20.66,0
ITEQ,31,8,54,3,5.024310980015935E-4,25.07,25.07,1
BMCH,31,8,54,2,0.03097386752181148,19.59,19.59,0
BNCN,31,8,54,-2,-0.0019137302044788154,23.39,23.39,0
