Ticker,run,hour,minute,intRank, perRank, lastPrice , currentPrice ,alertVal
TFSC,20,8,54,0,0.0,10.0,10.0,0
TFSCR,20,8,54,1,0.085925925925926,0.54,0.54,0
TFSCU,20,8,54,0,0.0,9.05,9.05,0
TFSCW,20,8,54,0,1.0895179028132995,0.391,0.391,0
PIH,20,8,54,-1,-0.00989898989898996,6.5,6.435,0
FLWS,20,8,54,2,0.007414365284982627,9.58,9.58,0
FCCY,20,8,54,-1,-0.0017185055321993553,12.4724,12.4724,0
VNET,20,8,54,2,0.02138936828331575,9.68,9.71,0
CAFD,20,8,54,0,0.031161842083847924,16.29,16.5037,0
EGHT,20,8,54,-1,0.00213975978911492,15.1,15.18,0
AVHI,20,8,54,-1,0.0036239810432668012,12.601,12.64,0
ABEO,20,8,54,0,-0.006832525860482863,2.4123,2.43,0
ABEOW,20,8,54,0,0.0,1.11,1.11,0
ABIL,20,8,54,1,0.01133694267778985,4.58,4.58,0
AXAS,20,8,54,0,0.008842025870169301,1.19,1.19,0
ACTG,20,8,54,0,-0.013353001918833873,4.6,4.635,0
ACST,20,8,54,-1,-0.06111224487100451,1.48,1.47,0
AXDX,20,8,54,-1,0.0048807571032721785,19.5187,19.451,0
ANCX,20,8,54,-2,0.006124948174001484,21.39,21.49,0
ARAY,20,8,54,0,0.003815595600679276,5.33,5.35,0
OILU,20,8,54,-1,-0.014543837912688387,24.32,24.32,0
VXDN,20,8,54,1,0.024232939742370806,15.6,15.55,0
VXUP,20,8,54,-2,-0.03483655083655078,7.56,7.5,0
ACRX,20,8,54,3,8.054569138972872E-4,3.03,3.01,1
ACET,20,8,54,3,0.003918311812282985,25.02,25.25,1
AKAO,20,8,54,3,0.05478923118868942,3.68,3.74,0
ACHN,20,8,54,5,0.00982194158642974,8.77,8.805,1
ACIW,20,8,54,2,-0.0033716624347994526,19.59,19.645,0
ACRS,20,8,54,2,-0.009607965478378463,20.2,20.24,0
ACTS,20,8,54,1,0.039594167403923214,2.04,2.04,0
ACPW,20,8,54,-3,-0.04694740738868526,0.35,0.3324,0
ACTA,20,8,54,1,0.002457837935225597,9.85,9.85,0
ACUR,20,8,54,0,0.011550001279696593,2.08,2.12,0
ACXM,20,8,54,-3,0.00179374538531019,22.73,22.74,0
ADMS,20,8,54,0,0.006684455426360797,15.28,15.34,0
ADMP,20,8,54,-2,-0.015584479741035617,3.08,3.059,0
ADAP,20,8,54,-1,-0.02620604822799579,7.7525,7.78,0
ADUS,20,8,54,-2,-0.004157255524705673,19.36,19.42,0
AEY,20,8,54,-2,-0.03028276045860298,1.8487,1.84,0
IOTS,20,8,54,3,-0.011939890983309729,3.8125,3.75,1
ADMA,20,8,54,-1,-0.011002074305039185,6.7417,6.6315,0
ADTN,20,8,54,2,0.002792223919029257,18.025,18.01,0
ADRO,20,8,54,4,0.02809806887255214,13.4,13.22,1
ADES,20,8,54,0,6.405455526714947E-4,6.8766,7.0212,0
AMD,20,8,54,6,0.04754954734408524,5.49,5.45,1
ADXS,20,8,54,-2,0.016161209087766724,7.88,8.07,0
ADXSW,20,8,54,1,0.005835440013072555,4.4899,4.4899,0
ADVM,20,8,54,-1,0.007138823928391942,3.22,3.19,0
MAUI,20,8,54,0,0.0,23.7,23.7,0
YPRO,20,8,54,0,0.0,23.699,23.699,0
AEGR,20,8,54,2,-0.04048508491341715,1.505,1.52,0
AEGN,20,8,54,-4,-0.005213230435576083,20.04,20.2,0
AGLE,20,8,54,-4,-0.02409395349083701,4.45,4.35,0
AEHR,20,8,54,-1,0.03492166812226296,1.8089,1.71,0
AMTX,20,8,54,0,5.368187770726264E-5,1.9854,2.0,0
AERI,20,8,54,0,0.016438901706003473,17.53,17.68,0
AEZS,20,8,54,-3,0.009960905255602382,3.5425,3.5316,0
AEMD,20,8,54,-5,-0.007348356129430508,7.18,7.349,0
AFMD,20,8,54,4,2.496203592211449E-4,2.87,2.82,1
AGEN,20,8,54,2,0.0176987369307634,4.795,4.81,0
AGRX,20,8,54,0,-0.0033081003447340968,6.86,6.96,0
AGYS,20,8,54,4,0.015095819363762922,11.31,11.26,1
AGFS,20,8,54,3,0.02462355907267646,5.7,5.72,0
AGFSW,20,8,54,1,0.18736263736263734,0.91,0.91,0
AIMT,20,8,54,1,-0.009928635562462913,10.87,10.79,0
AIRT,20,8,54,1,0.015557784238222724,20.1,20.3994,0
ATSG,20,8,54,-3,-0.01093678127853745,14.32,14.28,0
AMCN,20,8,54,-3,-0.025487149682305407,2.9593,2.93,0
AIXG,20,8,54,-2,-0.013447455520075018,5.84,5.8,0
AKTX,20,8,54,0,0.052302521222537354,9.99,10.3,0
AKBA,20,8,54,1,0.004848886736733568,8.49,8.51,0
AKER,20,8,54,1,-0.012929232326660791,3.0,2.9,0
ALSK,20,8,54,4,0.02792753540484101,1.71,1.715,1
AMRI,20,8,54,1,0.0065873174096681255,14.225,14.24,0
ABDC,20,8,54,0,0.0043060900602030095,12.2032,12.1999,0
ADHD,20,8,54,3,0.05550192600638806,4.3,4.26,1
ALDX,20,8,54,-1,-0.025667292287652715,5.94,5.9,0
ALIM,20,8,54,-1,-0.045790055864917883,1.22,1.19,0
ALJJ,20,8,54,-1,-0.015783508224724054,4.91,4.88,0
AIQ,20,8,54,2,0.04303803148885496,6.41,6.28,0
AHGP,20,8,54,1,0.04106746297184331,22.79,23.65,0
ARLP,20,8,54,-4,0.015789207036385887,17.8401,17.8401,0
AHPI,20,8,54,-3,-0.030025807571134124,0.6201,0.6201,0
AMOT,20,8,54,-1,-0.016026985846998017,22.44,22.44,0
ALQA,20,8,54,1,0.028012151227507626,1.19,1.19,0
ALLT,20,8,54,1,-0.0038690292569933463,4.9,4.9,0
MDRX,20,8,54,-2,0.005085624273298642,14.0,14.0,0
AOSL,20,8,54,-6,-0.01717020369407684,14.12,14.12,0
SMCP,20,8,54,0,0.0,23.36,23.36,0
ATEC,20,8,54,0,0.005849221538733618,0.3699,0.3699,0
AMRN,20,8,54,1,-0.003250294160476783,2.32,2.32,0
